frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
143,8.8256,182.5684,198.6224,1444.4,-620.8,1413.4,-641.1,1413.4,10.0,25.88,0,0.2716,0,0.042470,0.319042,0.946789
144,8.8718,183.3467,197.2623,1494.2,-522.9,1465.0,-538.3,1465.0,10.0,51.55,0,0.2758,0,0.055757,0.296285,0.953471
145,8.9176,183.8399,197.4240,1525.8,-534.5,1506.8,-535.1,1506.8,10.0,41.85,0,0.2722,0,0.063909,0.298828,0.952165
146,8.9637,183.8929,197.1752,1529.1,-516.6,1521.8,-520.1,1521.8,10.0,14.98,0,0.2823,0,0.064878,0.294672,0.953394
147,9.0104,183.7994,197.7726,1523.2,-559.6,1522.7,-549.2,1522.7,10.0,0.83,0,0.2836,0,0.063115,0.304631,0.950377
148,9.0611,184.2689,194.7313,1553.2,-340.7,1542.3,-372.8,1542.3,10.0,19.63,0,0.2921,0,0.072003,0.253626,0.964619
149,9.1068,184.0590,194.9746,1539.8,-358.2,1540.9,-361.1,1540.9,10.0,1.38,0,0.2942,0,0.068391,0.257785,0.963779
150,9.1518,184.4234,193.5720,1563.1,-257.2,1553.2,-275.9,1553.2,10.0,12.31,0,0.2938,0,0.074984,0.234007,0.969339
151,9.2031,184.6990,192.6571,1580.7,-191.3,1569.7,-204.9,1569.7,10.0,16.51,0,0.3039,0,0.079943,0.218414,0.972576
152,9.2506,185.0978,190.5890,1606.3,-42.4,1592.2,-65.4,1592.2,10.0,22.45,0,0.2977,0,0.087354,0.183060,0.979213
153,9.2964,184.8515,190.3241,1590.5,-23.3,1591.3,-30.2,1591.3,10.0,0.90,0,0.2983,0,0.083214,0.178595,0.980397
154,9.3436,185.2146,187.9481,1613.7,147.7,1603.8,124.4,1603.8,124.4,115.12,0,0.2894,0,0.090021,0.137715,0.986373
155,9.3927,184.8992,187.2661,1593.6,196.8,1599.1,187.0,1599.1,187.0,62.72,0,0.3003,0,0.084723,0.126023,0.988403
156,9.4386,185.4705,186.1889,1630.1,274.4,1615.0,261.6,1615.0,261.6,76.30,0,0.3088,0,0.094782,0.107322,0.989696
157,9.4862,186.2376,185.9327,1679.2,292.8,1656.0,287.7,1656.0,287.7,48.64,0,0.3030,0,0.108076,0.102755,0.988818
158,9.5344,186.2194,185.8212,1678.0,300.9,1669.9,298.3,1669.9,298.3,17.45,0,0.3022,0,0.107783,0.100833,0.989048
159,9.5807,186.2239,186.1492,1678.3,277.3,1674.8,282.8,1674.8,282.8,16.28,0,0.3026,0,0.107798,0.106493,0.988453
160,9.6267,186.1898,186.0796,1676.1,282.3,1675.5,282.4,1675.5,282.4,0.80,0,0.3010,0,0.107223,0.105299,0.988643
161,9.6742,186.2465,184.4740,1679.8,397.9,1677.6,371.5,1677.6,371.5,89.10,0,0.2987,0,0.108479,0.077546,0.991070
